url|raw_target|time
http://seguranca-patrimonial-385514.firebaseapp.com/|Generic/Spear Phishing|12:06:06
https://mainsystemcoinwallet.pages.dev/|Crypto/Wallet|12:06:00
http://dubeyrudra-1808.github.io/Netflix_Clone_|Netflix Inc.|12:05:59
https://bafybeicxu2lchuo7gwxghhmjcnyqgec6cotcd3rqjggzzn23b4nqywyvei.ipfs.dweb.link/|Webmail Providers|12:04:32
https://pub-f6244fe9c7374698a595b626f3787308.r2.dev/serverDCCCCCCC.html|Office365|12:12:02
https://telegooe-ajjd.top/zz/|Telegram|12:11:39
https://go.click.ly/eaRLu|Generic/Spear Phishing|12:11:08
https://sfi.lewiscc.dev/|Grupo Santander|12:09:13
https://upeholdlotfgin.gitbook.io/|Uphold|12:09:12
http://decentrazerofusion.pages.dev/|Crypto/Wallet|12:15:34
http://zhouxilian.pages.dev/|NetEase|12:14:53
http://com678.fywpihwi2.00.dreamhospital.org/|Generic/Spear Phishing|12:14:40
https://swisscome.blogspot.am/|Swisscom IT Services AG|12:14:24
http://creativ.pages.dev/|Webmail Providers|12:12:47
http://doc.inv-pdf.workers.dev/|Office365|12:12:43
http://demetra1c.ru/wp-includes/js/jcrop/sd/redil.html|Webmail Providers|12:21:34
http://telegramh.cyou/|Telegram|12:20:12
https://pdf009.pages.dev/adobepdf|Adobe Inc.|12:18:30
http://poeorson.pages.dev/|IRS|12:24:30
https://ridge-docs--treserr.webflow.io/|Crypto/Wallet|12:23:34
http://fastseo738.weebly.com/|Generic/Spear Phishing|12:23:33
http://telstra-101262.weeblysite.com/|Telstra Corporation Limited|12:23:10
https://shaw-101196.weeblysite.com/|Shaw Communications|12:22:22
https://abhishek91k.github.io/My_Netflix|Netflix Inc.|12:30:12
https://klvegaold.com/clicks/MjM4ODJfMjgzMjU2XzIzLjAwMTk4XzEzXzE3MjcwMDM4MTM0MjY1MjUwMTcyXzIwXjMxODc3N2I1NTE1MWRjZDk4ZDllMTVjYWRjOWJhMmJhXjE0LjkuMjIuMjAyNA==|WhatsApp|12:30:08
https://www.quantumdexportals.com/|Crypto/Wallet|12:28:57
https://bouanx.bitbucket.io/|Generic/Spear Phishing|12:27:53
http://small-dawn-443d.layajox934.workers.dev/2606:4700:3033::ac43:b61e|Yahoo! Inc|12:27:52
https://rthuouyytalk.weebly.com/|Generic/Spear Phishing|12:33:43
http://att-mail-105352.weeblysite.com/|AT&T Inc.|12:41:57
http://rajdeep05-web.github.io/Netflix-login-page|Netflix Inc.|12:40:43
https://mnby8g.webwave.dev/|Orange|12:40:28
http://574345-pucp-edu-pe.weebly.com/|Generic/Spear Phishing|12:40:04
http://upholld0ilogyueiin.mystrikingly.com/|Uphold|12:39:43
http://qionbaewallet---etxns.webflow.io/|Coinbase|12:39:06
http://tracklink393m93.pdffile303k8.workers.dev/|Office365|12:38:56
http://onekw.com/.well-known/acme-challenge/5797/Login.html|Volksbank|12:37:57
https://lnq.gin.mybluehost.me/DHLM/TU17HLK/index.php?FGDD=1|DHL Airways, Inc.|12:37:37
http://skertro.pages.dev/|Generic/Spear Phishing|12:46:54
https://telegram18sexxx-88h.pages.dev/|Telegram|12:46:47
https://sueamcoommunnlty.com/add/here|Steam|12:46:34
http://netzero-webmail-108238.weeblysite.com/|NetZero|12:43:17
http://att-104563.weeblysite.com/|AT&T Inc.|12:43:13
https://psicanalisecriativa.com.br/|Generic/Spear Phishing|12:51:11
https://faecbook.com.vn/Hs0NtTkXEBTwKW4W4wKYRt|Facebook, Inc.|12:48:58
http://juno-104121.weeblysite.com/|Juno Online Services|12:47:46
https://pml8eo.webwave.dev/|Orange|12:47:35
https://hx4vp6.webwave.dev/|Orange|12:56:26
http://allergro-86.com/|Allegro|12:56:05
http://764116185925085.graficaaoquadrado.com.br/|Office365|12:55:56
https://revblendproboard.pages.dev/|Crypto/Wallet|12:55:46
http://mail-105560.weeblysite.com/|Rogers Wireless|12:53:20
http://merlin-04.github.io/netflix|Netflix Inc.|13:01:50
http://20240313-2eh.pages.dev/|NetEase|12:59:31
http://solomontagesse.github.io/apple-website-bootstrap|Apple Inc.|12:59:28
http://duttweilerangel6891-sidebarg165895-flarew256.pages.dev/help/contact/708710833775458|Facebook, Inc.|12:58:46
http://rakesh799.github.io/Netflix-Clone|Netflix Inc.|13:06:56
http://swiftsyncresolve.pages.dev/|Crypto/Wallet|13:06:49
http://dedsecportal.github.io/instalgram|Instagram|13:06:47
http://shivani3104.github.io/Netflix_clone|Generic/Spear Phishing|13:05:50
http://support-assistance-u2an2t1708.vercel.app/page-appeal|Facebook, Inc.|13:05:24
http://codcee-ottvv-com.pages.dev/|WeChat|13:03:59
http://7a70738ec4ceb7d7cb54b3ae6f5ae783pages.pages.dev/|Webmail Providers|13:03:31
http://steamgamessupport.github.io/SteamGames|Steam|13:03:08
http://re-launcher.pages.dev/|Crypto/Wallet|13:11:59
http://muhammedarshad898.github.io/facebook/index.html|Facebook, Inc.|13:11:09
http://ayushkatiyar13.github.io/UI-UX-High-Fidelity-Netflix-Clone|Netflix Inc.|13:10:49
http://arsalanaslani.ir/wpadmin/index.html|Telstra Corporation Limited|13:10:35
http://galacticatechnology.com/share|American Express|13:10:25
http://ledgerlivesynchro.com/online|Ledger (Hardware Wallet)|13:08:41
http://pub-4613dee10ece4823b6928ccb4c27f7ee.r2.dev/5.html|Office365|13:08:26
http://junowebmaiill.weebly.com/|Juno Online Services|13:08:07
http://shahidulislamaurko.com/-/39025/Login.html|Volksbank|13:08:01
http://logln-made-in-china.live.strattic.io/made-in-china.com/login.html|Made-In-China|13:07:57
http://dsvjhv3467fgwejf.pages.dev/|Generic/Spear Phishing|13:07:18
http://thelightfeather.com/CH/app/eov.php|SwissPass|13:16:46
https://amazon-kaushalbro.vercel.app/|Amazon.com Inc.|13:15:52
http://wankhade-2002.github.io/Netflix-Homepage|Netflix Inc.|13:15:17
http://shorter.me/SFtAb|AT&T|13:14:19
http://att-100132.weeblysite.com/|AT&T Inc.|13:14:03
http://steam.dev.madhouselabs.net/|Steam|13:13:49
https://basecamptrek.com/fr/postale/pstl-log.php/|La Banque postale|13:13:43
http://coinbaceprologgin.gitbook.io/|Coinbase|13:12:53
http://zoxmllbra.000webhostapp.com/tachles.html|Zimbra|13:12:18
http://rojerkapps.pages.dev/|Crypto/Wallet|13:12:03
http://multichainsmartconnects.pages.dev/|Crypto/Wallet|13:21:32
https://supreme-auth-giggle.vercel.app/|Generic/Spear Phishing|13:19:28
http://telegramlf.cyou/|Telegram|13:26:40
http://17dh03.com/|Bet365|13:25:52
http://coinbase-login-io.webflow.io/|Coinbase|13:25:43
http://proutbox.space/|Generic/Spear Phishing|13:25:16
https://jksddf.weebly.com/|AT&T Inc.|13:24:13
https://multiblocksauth.pages.dev/|Crypto/Wallet|13:23:33
http://gaur2526.github.io/netflix-clone|Netflix Inc.|13:32:00
http://loomsteadifydao.pages.dev/|Crypto/Wallet|13:31:54
http://guinnipraffaela36904-dinimos352470-manine30624.pages.dev/help/contact/670275666142690|Facebook, Inc.|13:31:52
http://mycssrechnungbezahlen.sviluppo.host/ui/app/auth/next/mycss-login/log/login.html|Generic/Spear Phishing|13:31:11
https://ff.members.garecna.vn/|Garena|13:30:55
http://redlinkbits.top/go/23b4y2/03a4|Coinbase|13:30:45
http://cfd.hxas09.filegear-sg.me/|Shopify|13:36:58
